frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
15,30.303,2,67,"[-223.84, 237.983, 1684.48]","[-261.194, 38.7071, 1655.29]","[-412.2, 43.3358, 1577.12]","[-424.167, -172.788, 1387.29]","[-174.185, 22.464, 1448.16]","[-133.249, 1.21406, 1758.69]","[-99.8208, -285.84, 1772.62]","[-44.2069, -581.703, 1661.11]","[-286.045, -214.479, 1638.3]","[-294.565, -408.238, 1579.14]","[-393.444, -418.311, 1534.29]","[-357.307, -710.838, 1241.81]","[-357.653, -1097.49, 1242.09]","[-199.662, -452.253, 1609.03]","[-202.012, -867.455, 1614.07]","[-202.012, -1258.25, 1614.07]","[-216.017, -10.2296, 1438.02]","[-53.4755, -532.394, 1679.69]","[-253.031, 121.855, 1660.88]","[0, 0, 0]"
15,30.303,2,70,"[791.429, 65.0707, 2249.06]","[863.29, -125.629, 2245.78]","[710.972, -155.28, 2347.05]","[719.406, -431.172, 2302.48]","[658.482, -693.009, 2155.69]","[1042.39, -107.206, 2206.3]","[1150.84, -364.587, 2193.28]","[1089.22, -601.146, 2008.73]","[905.332, -375.964, 2255.41]","[910.268, -574.837, 2210.54]","[811.47, -588.975, 2222.32]","[832.897, -956.214, 1994.44]","[832.897, -1349.23, 1994.44]","[1001.15, -574.636, 2168.47]","[989.999, -939.485, 1936.07]","[989.999, -1332.5, 1936.07]","[668.636, -649.369, 2180.16]","[1099.49, -561.719, 2039.48]","[849.352, -42.633, 2242.59]","[0, 0, 0]"
16,29.4118,2,67,"[-237.668, 237.306, 1699.89]","[-271.791, 38.2465, 1665.21]","[-420.084, 43.7865, 1583.14]","[-400.769, -164.269, 1384.42]","[-167.913, 37.9907, 1479.65]","[-166.699, 5.02704, 1792.0]","[-126.088, -280.042, 1784.51]","[-61.9562, -571.531, 1672.89]","[-294.945, -214.696, 1645.86]","[-301.327, -408.393, 1586.23]","[-399.172, -417.932, 1539.69]","[-363.957, -703.904, 1241.4]","[-369.82, -1089.54, 1238.2]","[-207.569, -453.206, 1617.52]","[-212.073, -869.669, 1621.39]","[-212.073, -1260.47, 1621.39]","[-206.842, 4.11628, 1463.78]","[-72.6444, -522.95, 1691.49]","[-264.179, 121.396, 1671.57]","[0, 0, 0]"
16,29.4118,2,70,"[793.311, 66.5944, 2250.3]","[863.508, -124.769, 2246.43]","[711.529, -154.147, 2347.99]","[720.99, -430.183, 2304.65]","[658.392, -690.72, 2156.38]","[1042.14, -106.767, 2204.92]","[1150.9, -363.984, 2191.34]","[1089.07, -602.352, 2009.34]","[904.654, -375.241, 2255.51]","[908.965, -574.007, 2210.15]","[810.009, -588.652, 2222.39]","[833.125, -954.565, 1994.05]","[834.259, -1339.34, 1992.06]","[999.945, -574.505, 2167.62]","[987.664, -938.08, 1934.73]","[976.024, -1324.08, 1928.05]","[668.826, -647.298, 2181.09]","[1099.37, -562.625, 2039.67]","[849.865, -41.7213, 2243.42]","[0, 0, 0]"
17,31.25,2,67,"[-252.399, 236.26, 1712.48]","[-284.388, 37.7887, 1674.45]","[-429.952, 44.0896, 1589.57]","[-387.451, -156.478, 1387.42]","[-165.663, 45.2129, 1502.01]","[-206.745, 9.87078, 1823.04]","[-157.97, -271.132, 1795.54]","[-83.4028, -557.294, 1684.1]","[-307.981, -214.16, 1652.12]","[-311.545, -408.144, 1593.22]","[-408.357, -417.34, 1544.68]","[-369.689, -681.42, 1228.22]","[-373.526, -1054.69, 1215.63]","[-219.267, -453.469, 1627.55]","[-226.98, -869.103, 1633.18]","[-226.98, -1259.9, 1633.18]","[-202.676, 11.4671, 1482.91]","[-95.8301, -509.6, 1702.68]","[-276.611, 120.841, 1681.81]","[0, 0, 0]"
17,31.25,2,70,"[801.017, 71.5476, 2255.13]","[865.278, -121.802, 2248.65]","[715.342, -149.684, 2352.43]","[726.764, -426.146, 2312.64]","[657.842, -681.853, 2159.42]","[1042.59, -104.786, 2202.23]","[1151.98, -361.391, 2184.19]","[1089.35, -604.357, 2008.95]","[903.121, -372.629, 2255.54]","[905.532, -570.9, 2208.11]","[806.867, -587.701, 2221.78]","[833.135, -948.594, 1992.72]","[833.153, -1329.99, 1990.14]","[996.919, -573.211, 2165.49]","[978.588, -929.635, 1929.08]","[961.002, -1306.28, 1918.06]","[669.332, -639.239, 2184.95]","[1099.78, -563.867, 2038.16]","[852.721, -38.5815, 2246.36]","[0, 0, 0]"
18,30.303,2,67,"[-268.875, 233.562, 1724.07]","[-298.872, 36.6902, 1682.86]","[-437.921, 43.833, 1590.31]","[-379.498, -152.941, 1390.06]","[-167.433, 45.4863, 1522.33]","[-240.104, 12.3972, 1844.33]","[-188.936, -265.643, 1805.06]","[-104.628, -547.865, 1693.33]","[-324.335, -213.568, 1657.81]","[-326.053, -407.696, 1599.26]","[-420.918, -416.668, 1547.15]","[-341.308, -592.723, 1192.08]","[-316.755, -914.919, 1162.56]","[-233.983, -453.016, 1634.03]","[-243.652, -868.034, 1636.61]","[-243.652, -1258.84, 1636.61]","[-202.785, 12.3287, 1500.29]","[-118.679, -500.828, 1711.95]","[-290.436, 119.589, 1691.16]","[0, 0, 0]"
18,30.303,2,70,"[815.655, 78.5613, 2266.01]","[869.438, -117.397, 2252.26]","[725.201, -144.169, 2361.09]","[733.247, -421.283, 2325.3]","[656.8, -670.442, 2165.14]","[1045.03, -101.886, 2199.18]","[1153.26, -358.459, 2175.08]","[1088.31, -604.97, 2005.62]","[901.255, -368.715, 2255.23]","[901.292, -564.273, 2204.05]","[803.292, -586.892, 2218.57]","[831.48, -943.619, 1990.58]","[829.599, -1332.22, 1988.42]","[993.243, -571.853, 2161.43]","[965.989, -917.753, 1917.82]","[953.623, -1299.08, 1906.2]","[669.545, -628.92, 2191.83]","[1099.13, -563.888, 2033.86]","[858.865, -33.8979, 2251.27]","[0, 0, 0]"
19,30.303,2,67,"[-286.322, 230.681, 1735.13]","[-314.782, 34.8449, 1689.86]","[-438.813, 44.7468, 1580.27]","[-372.73, -156.864, 1389.91]","[-175.27, 40.0251, 1542.91]","[-252.062, 4.4522, 1848.06]","[-216.542, -274.323, 1808.9]","[-121.683, -554.052, 1698.49]","[-342.394, -213.156, 1660.52]","[-343.632, -407.423, 1602.39]","[-436.327, -416.535, 1546.9]","[-387.326, -670.782, 1251.44]","[-432.615, -1147.93, 1307.95]","[-250.902, -452.249, 1635.47]","[-261.66, -867.102, 1634.28]","[-261.66, -1257.9, 1634.28]","[-208.175, 7.16205, 1517.41]","[-137.493, -507.43, 1716.89]","[-305.578, 117.496, 1699.65]","[0, 0, 0]"
19,30.303,2,70,"[833.149, 84.0909, 2279.07]","[875.364, -113.623, 2255.57]","[735.764, -140.803, 2366.29]","[739.102, -418.673, 2336.24]","[651.68, -659.04, 2168.46]","[1049.78, -99.6923, 2197.18]","[1154.92, -356.676, 2165.26]","[1086.33, -604.028, 1998.29]","[900.031, -365.457, 2254.38]","[898.245, -557.178, 2198.73]","[800.678, -586.325, 2212.02]","[821.392, -944.093, 1990.24]","[812.41, -1338.88, 1990.4]","[991.038, -570.998, 2156.81]","[954.491, -910.895, 1910.49]","[946.845, -1300.34, 1906.16]","[666.254, -618.983, 2196.43]","[1097.76, -562.804, 2026.12]","[867.157, -29.8519, 2255.97]","[0, 0, 0]"
