frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
20,30.303,2,145,"[-600.544, 329.111, 1735.05]","[-636.554, 142.414, 1647.62]","[-647.49, 131.536, 1488.21]","[-741.687, -140.108, 1452.25]","[-759.621, -512.081, 1464.65]","[-620.84, 113.313, 1853.03]","[-575.034, -128.968, 1697.79]","[-460.974, -397.327, 1569.45]","[-617.388, -96.5416, 1564.2]","[-616.042, -302.254, 1512.81]","[-736.919, -393.618, 1483.07]","[-737.055, -827.227, 1481.06]","[-737.055, -1235.84, 1481.06]","[-493.456, -390.068, 1519.36]","[-492.831, -822.508, 1518.28]","[-492.831, -1231.12, 1518.28]","[-759.621, -403.577, 1464.65]","[-479.966, -352.608, 1590.82]","[-643.167, 224.853, 1676.4]","[0, 0, 0]"
20,30.303,2,252,"[555.174, 50.5004, 1996.61]","[535.15, -112.354, 1997.74]","[401.646, -99.1383, 1955.66]","[231.198, -153.786, 1816.93]","[-18.4802, -216.024, 1785.49]","[657.516, -126.173, 2047.45]","[482.799, -123.668, 1903.4]","[233.857, -155.078, 1838.27]","[517.866, -321.781, 2020.26]","[516.43, -482.293, 2001.64]","[429.737, -537.712, 2042.13]","[429.737, -876.118, 2042.13]","[429.737, -1194.44, 2042.13]","[607.619, -527.258, 1959.4]","[499.658, -759.672, 1738.39]","[499.658, -1077.99, 1738.39]","[23.1328, -205.651, 1790.73]","[275.347, -149.843, 1849.12]","[540.729, -44.7593, 1990.48]","[0, 0, 0]"
21,29.4118,2,145,"[-599.616, 330.123, 1727.54]","[-636.849, 142.225, 1643.17]","[-650.308, 130.332, 1483.64]","[-755.518, -141.555, 1460.09]","[-759.378, -515.853, 1459.2]","[-620.553, 112.334, 1847.77]","[-575.093, -130.642, 1692.18]","[-458.621, -399.84, 1568.09]","[-617.527, -97.5795, 1561.0]","[-616.092, -303.589, 1510.92]","[-737.045, -392.369, 1479.57]","[-737.112, -825.78, 1477.09]","[-737.112, -1234.35, 1477.09]","[-492.775, -387.834, 1518.02]","[-492.276, -820.564, 1516.95]","[-492.276, -1229.14, 1516.95]","[-759.378, -407.36, 1459.2]","[-478.019, -354.978, 1588.77]","[-643.504, 224.817, 1671.47]","[0, 0, 0]"
21,29.4118,2,252,"[553.268, 52.9124, 1994.27]","[534.747, -109.869, 1998.89]","[401.931, -100.162, 1961.53]","[230.713, -150.544, 1822.47]","[-17.6226, -211.954, 1784.73]","[658.572, -119.878, 2046.86]","[484.087, -116.921, 1902.54]","[235.643, -149.92, 1837.36]","[518.802, -318.161, 2027.24]","[517.447, -478.322, 2004.61]","[429.444, -524.687, 2042.49]","[427.973, -797.897, 2044.25]","[427.973, -1116.22, 2044.25]","[606.701, -515.856, 1961.49]","[498.031, -749.85, 1742.52]","[489.695, -1018.23, 1763.15]","[23.7616, -201.72, 1791.02]","[277.05, -144.42, 1848.22]","[539.896, -42.6048, 1989.72]","[0, 0, 0]"
22,29.4118,2,145,"[-598.447, 331.116, 1718.61]","[-636.971, 142.073, 1637.47]","[-651.485, 129.903, 1477.39]","[-758.539, -143.86, 1456.37]","[-755.088, -518.996, 1448.3]","[-620.479, 112.447, 1842.03]","[-574.808, -133.46, 1688.28]","[-458.904, -405.336, 1569.88]","[-617.542, -98.6263, 1556.45]","[-616.096, -305.15, 1508.67]","[-737.266, -391.199, 1477.08]","[-737.417, -824.747, 1475.72]","[-737.417, -1233.27, 1475.72]","[-492.133, -385.038, 1517.67]","[-491.727, -817.424, 1517.6]","[-491.727, -1225.95, 1517.6]","[-755.088, -410.516, 1448.3]","[-478.213, -360.025, 1589.62]","[-643.65, 224.806, 1665.32]","[0, 0, 0]"
22,29.4118,2,252,"[547.413, 65.8168, 1987.36]","[533.616, -96.7765, 2003.34]","[400.299, -90.9338, 1974.84]","[227.08, -139.031, 1837.45]","[-17.3114, -195.978, 1783.82]","[655.247, -109.85, 2042.64]","[480.029, -102.213, 1899.54]","[232.934, -136.199, 1833.98]","[522.302, -300.785, 2047.66]","[519.759, -458.679, 2013.28]","[433.31, -497.669, 2042.25]","[440.844, -783.425, 2041.79]","[440.844, -1101.74, 2041.79]","[599.556, -491.53, 1968.15]","[493.714, -728.359, 1750.85]","[485.115, -1004.1, 1767.1]","[23.4029, -186.496, 1792.76]","[274.116, -130.535, 1844.91]","[537.268, -30.6878, 1988.93]","[0, 0, 0]"
23,30.303,2,145,"[-596.37, 331.439, 1709.86]","[-636.565, 141.922, 1631.0]","[-651.636, 130.126, 1469.98]","[-736.502, -147.25, 1427.56]","[-714.639, -523.052, 1401.12]","[-620.359, 112.681, 1835.71]","[-574.226, -135.794, 1685.69]","[-458.703, -409.883, 1572.23]","[-617.367, -99.7499, 1551.15]","[-616.018, -306.892, 1506.27]","[-737.24, -390.285, 1474.2]","[-737.168, -824.046, 1472.49]","[-737.168, -1232.52, 1472.49]","[-492.177, -384.398, 1517.97]","[-492.378, -818.744, 1518.39]","[-492.378, -1227.22, 1518.39]","[-714.639, -414.586, 1401.12]","[-477.953, -364.202, 1591.15]","[-643.15, 224.806, 1658.39]","[0, 0, 0]"
23,30.303,2,252,"[539.441, 86.7379, 1979.83]","[530.961, -75.2607, 2007.95]","[401.579, -80.1557, 1990.09]","[226.6, -123.188, 1853.18]","[-15.4711, -170.539, 1786.7]","[650.118, -92.2873, 2034.64]","[472.858, -84.0008, 1894.07]","[226.844, -117.831, 1829.59]","[525.232, -275.134, 2067.29]","[521.194, -432.266, 2024.64]","[436.96, -469.83, 2041.98]","[440.306, -782.196, 2041.72]","[440.306, -1100.51, 2041.72]","[589.25, -466.479, 1974.68]","[486.867, -705.866, 1758.54]","[479.923, -1002.92, 1765.56]","[24.8611, -162.66, 1797.78]","[267.846, -112.193, 1840.33]","[532.806, -10.2712, 1988.61]","[0, 0, 0]"
24,31.25,2,145,"[-593.232, 330.603, 1702.7]","[-635.763, 141.78, 1624.43]","[-651.299, 130.122, 1462.66]","[-694.763, -146.303, 1387.4]","[-661.645, -518.326, 1356.5]","[-620.076, 112.466, 1829.01]","[-573.207, -138.499, 1684.01]","[-459.916, -416.665, 1578.83]","[-617.032, -100.667, 1545.75]","[-615.284, -308.428, 1503.97]","[-736.008, -390.44, 1471.02]","[-734.939, -825.038, 1469.11]","[-734.939, -1233.46, 1469.11]","[-492.015, -385.1, 1519.0]","[-491.953, -820.302, 1519.91]","[-491.953, -1228.72, 1519.91]","[-661.645, -409.874, 1356.5]","[-478.797, -370.305, 1596.37]","[-642.178, 224.809, 1651.38]","[0, 0, 0]"
24,31.25,2,252,"[533.697, 105.324, 1976.4]","[526.371, -56.7978, 2009.75]","[400.375, -68.576, 1996.47]","[223.459, -111.768, 1862.01]","[-19.0912, -150.305, 1791.66]","[639.523, -80.0519, 2032.27]","[463.073, -70.5994, 1890.71]","[217.571, -104.547, 1826.68]","[523.361, -256.446, 2073.94]","[518.578, -416.46, 2031.37]","[432.921, -453.369, 2041.54]","[428.273, -783.593, 2041.21]","[428.273, -1101.9, 2041.21]","[580.833, -453.101, 1975.75]","[481.452, -695.117, 1761.16]","[478.026, -1009.19, 1761.57]","[21.3289, -143.887, 1803.38]","[258.487, -98.8888, 1837.35]","[527.342, 7.98944, 1988.9]","[0, 0, 0]"
25,30.303,2,145,"[-588.735, 328.825, 1697.76]","[-634.047, 141.689, 1618.51]","[-650.904, 128.858, 1456.61]","[-651.473, -141.375, 1353.51]","[-622.063, -510.687, 1332.22]","[-619.854, 113.575, 1824.34]","[-572.039, -139.839, 1685.07]","[-460.149, -420.409, 1584.82]","[-616.168, -101.06, 1540.59]","[-613.334, -309.38, 1501.9]","[-733.473, -391.331, 1469.52]","[-731.488, -826.334, 1469.1]","[-731.488, -1234.7, 1469.1]","[-491.209, -386.499, 1521.9]","[-490.579, -821.923, 1524.24]","[-490.579, -1230.29, 1524.24]","[-622.063, -402.25, 1332.22]","[-478.797, -373.647, 1601.53]","[-640.169, 224.813, 1645.19]","[0, 0, 0]"
25,30.303,2,252,"[531.344, 117.303, 1977.98]","[520.458, -45.4208, 2009.15]","[400.011, -63.9917, 1998.22]","[220.397, -103.648, 1866.24]","[-23.5135, -135.45, 1796.54]","[632.229, -69.0112, 2032.12]","[456.123, -60.4053, 1890.05]","[210.784, -95.2853, 1826.6]","[516.793, -247.963, 2070.62]","[511.967, -411.35, 2032.14]","[423.036, -447.436, 2041.43]","[414.69, -786.429, 2041.43]","[414.69, -1104.72, 2041.43]","[577.099, -447.737, 1973.68]","[477.285, -691.922, 1761.77]","[475.246, -1011.73, 1760.99]","[17.1371, -130.148, 1808.16]","[251.674, -89.472, 1837.17]","[521.633, 19.7755, 1989.34]","[0, 0, 0]"
26,30.303,2,145,"[-583.495, 327.124, 1694.24]","[-630.707, 141.601, 1613.35]","[-650.442, 127.075, 1451.85]","[-628.247, -139.589, 1335.89]","[-618.058, -512.291, 1329.63]","[-615.981, 115.12, 1820.41]","[-569.184, -141.588, 1688.16]","[-451.584, -419.373, 1586.92]","[-613.953, -101.01, 1536.27]","[-609.541, -309.771, 1500.33]","[-729.116, -391.731, 1469.5]","[-725.86, -826.064, 1470.13]","[-725.86, -1234.37, 1470.13]","[-490.034, -387.505, 1529.22]","[-489.161, -822.266, 1534.95]","[-489.161, -1230.57, 1534.95]","[-618.058, -403.87, 1329.63]","[-471.185, -373.076, 1603.79]","[-636.453, 224.816, 1639.79]","[0, 0, 0]"
