52,2873160.0,2,70,"[266.533, 80.705, 2082.61]","[252.475, -86.267, 2095.37]","[119.115, -66.688, 2105.17]","[-40.4754, -98.9072, 1943.66]","[-296.001, -148.191, 1886.9]","[366.024, -104.664, 2139.46]","[200.193, -65.8436, 1985.89]","[-58.1443, -82.3988, 1923.18]","[237.248, -295.997, 2111.69]","[231.825, -452.709, 2093.6]","[148.459, -499.707, 2124.67]","[227.901, -703.529, 1865.57]","[152.16, -841.416, 2143.05]","[315.773, -507.416, 2071.81]","[200.104, -739.393, 1853.19]","[200.104, -1058.36, 1853.19]","[-253.414, -139.977, 1896.36]","[-15.0881, -79.6396, 1933.63]","[257.41, -18.2991, 2090.08]","[0, 0, 0]"
53,2298530.0,2,70,"[264.73, 82.6522, 2079.23]","[252.049, -84.131, 2095.53]","[121.449, -70.2586, 2100.72]","[-40.4332, -97.9202, 1940.97]","[-294.537, -146.011, 1881.38]","[368.113, -101.191, 2133.47]","[200.541, -60.8376, 1982.22]","[-56.4444, -80.396, 1918.87]","[236.352, -292.338, 2119.05]","[232.803, -447.582, 2094.31]","[149.291, -486.994, 2119.17]","[224.844, -701.621, 1870.19]","[148.703, -842.69, 2145.8]","[314.943, -495.203, 2073.19]","[206.664, -733.993, 1859.85]","[240.091, -1025.1, 1893.17]","[-252.186, -137.996, 1891.31]","[-13.6137, -77.1353, 1929.43]","[257.152, -16.6031, 2087.89]","[0, 0, 0]"
54,1838830.0,2,70,"[241.806, 134.298, 2009.72]","[249.294, -51.4187, 2101.25]","[135.925, -59.99, 2086.65]","[-34.4288, -92.4405, 1937.97]","[-284.494, -139.546, 1871.5]","[363.825, -73.6687, 2115.01]","[192.436, -41.9283, 1966.55]","[-60.0773, -78.8143, 1906.74]","[236.616, -257.542, 2135.6]","[235.056, -410.922, 2100.43]","[155.386, -446.346, 2109.62]","[219.137, -686.023, 1884.18]","[134.428, -842.979, 2148.32]","[311.371, -454.031, 2077.37]","[220.628, -710.33, 1878.32]","[248.52, -985.473, 1914.32]","[-242.818, -131.696, 1882.58]","[-17.9915, -72.6737, 1916.71]","[253.413, 15.6612, 2090.03]","[0, 0, 0]"
55,1471070.0,2,70,"[238.321, 253.69, 2059.2]","[243.605, 23.9978, 2113.54]","[154.355, 3.02879, 2057.54]","[-17.614, -72.2947, 1936.74]","[-261.835, -131.071, 1866.52]","[340.959, 30.4465, 2057.46]","[175.344, -24.7529, 1942.96]","[-74.508, -77.6904, 1893.68]","[238.976, -181.803, 2144.37]","[237.777, -338.234, 2112.82]","[166.607, -396.359, 2100.68]","[213.264, -660.069, 1895.61]","[116.216, -838.524, 2141.9]","[303.981, -402.605, 2083.51]","[234.929, -677.633, 1898.7]","[248.469, -967.211, 1918.02]","[-221.133, -121.273, 1878.22]","[-32.8679, -68.882, 1901.89]","[245.112, 91.3656, 2103.43]","[0, 0, 0]"
56,1176860.0,2,70,"[225.915, 350.585, 2094.58]","[236.013, 120.044, 2129.38]","[169.366, 81.9405, 2056.12]","[13.498, -33.7278, 1944.79]","[-205.714, -131.293, 1858.54]","[232.527, 291.466, 1993.55]","[232.527, 62.5064, 1993.55]","[232.527, -237.255, 1993.55]","[238.674, -85.7823, 2142.73]","[238.99, -245.766, 2120.56]","[173.04, -378.576, 2092.6]","[211.174, -653.34, 1895.51]","[210.745, -975.262, 1892.33]","[295.951, -387.523, 2086.57]","[242.033, -669.588, 1903.36]","[244.918, -992.204, 1902.65]","[-169.203, -114.994, 1872.91]","[232.527, -152.343, 1993.55]","[235.153, 187.795, 2125.0]","[0, 0, 0]"
57,941498.0,2,70,"[210.09, 394.276, 2110.24]","[229.743, 193.525, 2141.79]","[172.912, 149.485, 2058.22]","[68.5498, -10.7369, 1947.28]","[-120.041, -136.543, 1834.55]","[250.5, 195.842, 2047.41]","[250.5, -33.9963, 2047.41]","[250.5, -333.831, 2047.41]","[236.651, -12.9337, 2139.8]","[238.465, -175.225, 2122.17]","[169.746, -376.754, 2082.78]","[164.825, -726.712, 2076.6]","[164.825, -1050.13, 2076.6]","[303.97, -382.501, 2079.1]","[245.429, -670.656, 1903.56]","[245.575, -999.79, 1900.72]","[-88.6563, -115.527, 1853.34]","[250.5, -248.481, 2047.41]","[227.474, 261.776, 2142.47]","[0, 0, 0]"
58,753205.0,2,70,"[213.736, 401.21, 2113.01]","[226.13, 229.693, 2147.77]","[168.339, 192.769, 2052.73]","[134.309, 2.26573, 1943.54]","[-53.3657, -114.233, 1812.85]","[249.864, 195.088, 2051.7]","[249.864, -38.0257, 2051.7]","[249.864, -341.228, 2051.7]","[235.087, 21.3163, 2135.45]","[237.805, -143.475, 2118.43]","[163.232, -376.5, 2073.54]","[157.171, -728.831, 2068.26]","[157.171, -1056.78, 2068.26]","[311.9, -383.891, 2070.64]","[245.903, -676.811, 1898.86]","[244.439, -1012.15, 1893.34]","[-22.0939, -94.8209, 1834.63]","[249.864, -254.568, 2051.7]","[223.164, 298.792, 2151.85]","[0, 0, 0]"
59,602571.0,2,70,"[225.06, 378.834, 2207.49]","[224.633, 232.746, 2147.74]","[160.388, 207.113, 2041.81]","[203.526, 8.20554, 1939.21]","[-11.1921, -77.3486, 1824.12]","[252.197, 177.312, 2040.6]","[252.197, -61.2345, 2040.6]","[252.197, -370.748, 2040.6]","[234.743, 20.8854, 2129.92]","[237.81, -149.085, 2111.77]","[154.805, -368.845, 2069.38]","[148.322, -720.916, 2068.49]","[148.322, -1056.45, 2068.49]","[318.346, -384.988, 2065.84]","[244.896, -682.446, 1892.42]","[243.049, -1022.91, 1886.88]","[24.5635, -63.0506, 1843.3]","[252.197, -281.99, 2040.6]","[221.271, 303.164, 2153.66]","[0, 0, 0]"
60,482063.0,2,70,"[233.257, 367.999, 2105.0]","[223.715, 217.414, 2144.02]","[162.282, 174.527, 2054.37]","[110.224, -5.09669, 1948.41]","[-6.17937, -92.7675, 1758.13]","[275.012, 119.475, 2104.25]","[275.012, -125.608, 2104.25]","[275.012, -442.99, 2104.25]","[232.76, 1.46557, 2123.63]","[235.144, -173.633, 2104.78]","[150.361, -389.987, 2069.73]","[148.149, -776.457, 2071.96]","[148.149, -1121.13, 2071.96]","[319.781, -397.771, 2063.67]","[239.36, -695.154, 1876.77]","[234.348, -1049.71, 1864.37]","[12.7338, -78.0702, 1789.84]","[275.012, -351.736, 2104.25]","[220.692, 289.567, 2150.82]","[0, 0, 0]"
61,385657.0,2,70,"[224.085, 338.776, 2094.19]","[223.016, 189.202, 2137.87]","[160.606, 134.657, 2061.63]","[46.4923, -24.1967, 1943.32]","[-123.229, -121.885, 1796.04]","[305.051, 72.131, 2063.55]","[275.767, -159.212, 2080.68]","[275.767, -482.887, 2080.68]","[229.983, -31.4192, 2117.23]","[231.467, -209.895, 2098.41]","[141.544, -411.09, 2074.86]","[135.435, -801.173, 2080.13]","[135.435, -1153.17, 2080.13]","[321.017, -415.095, 2062.1]","[233.981, -713.544, 1863.79]","[230.068, -1078.84, 1855.5]","[-95.4313, -105.591, 1820.59]","[275.767, -389.636, 2080.68]","[220.682, 263.095, 2144.77]","[0, 0, 0]"
