frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
114,29.4118,2,249,"[-915.042, 362.51, 1856.61]","[-964.053, 187.905, 1793.18]","[-1066.99, 195.313, 1670.04]","[-1184.09, -10.2416, 1540.36]","[-1029.38, -93.7123, 1741.33]","[-932.476, 125.334, 1912.44]","[-929.798, -135.88, 1903.22]","[-929.798, -482.195, 1903.22]","[-987.337, -32.3632, 1784.54]","[-956.651, -217.549, 1726.96]","[-914.329, -572.837, 1638.51]","[-914.329, -975.153, 1638.51]","[-914.329, -1353.59, 1638.51]","[-898.474, -565.683, 1692.02]","[-898.474, -967.999, 1692.02]","[-898.474, -1346.44, 1692.02]","[-1055.51, -79.5777, 1708.28]","[-929.798, -381.704, 1903.22]","[-954.645, 268.443, 1796.4]","[0, 0, 0]"
114,29.4118,2,174,"[409.157, 298.339, 2176.21]","[458.986, 102.812, 2146.91]","[398.348, 98.7803, 2293.99]","[408.805, -190.951, 2333.17]","[267.377, -448.604, 2317.57]","[546.408, 93.7639, 2026.05]","[594.848, -189.659, 1972.07]","[533.457, -435.576, 1822.45]","[481.166, -142.071, 2146.79]","[485.018, -334.671, 2110.69]","[402.735, -403.51, 2144.75]","[402.735, -804.998, 2144.75]","[402.735, -1182.66, 2144.75]","[562.771, -387.27, 2047.17]","[475.172, -688.702, 1796.85]","[340.169, -817.166, 2125.33]","[290.948, -405.661, 2320.17]","[543.689, -394.59, 1847.38]","[451.685, 183.411, 2146.95]","[0, 0, 0]"
115,29.4118,2,249,"[-906.92, 383.405, 1863.67]","[-958.254, 211.244, 1796.87]","[-1066.25, 220.228, 1676.72]","[-1219.28, 72.9016, 1511.99]","[-1114.75, -114.886, 1691.79]","[-960.315, 142.701, 1906.71]","[-983.697, -114.397, 1904.22]","[-983.697, -460.645, 1904.22]","[-983.602, -15.3983, 1785.78]","[-955.55, -201.415, 1729.65]","[-914.326, -572.961, 1638.49]","[-914.326, -975.21, 1638.49]","[-914.326, -1353.59, 1638.49]","[-898.454, -565.8, 1692.06]","[-898.454, -968.049, 1692.06]","[-898.454, -1346.42, 1692.06]","[-1132.38, -83.0643, 1662.07]","[-983.697, -360.171, 1904.22]","[-948.527, 291.677, 1800.72]","[0, 0, 0]"
115,29.4118,2,174,"[408.85, 300.614, 2172.11]","[458.789, 104.813, 2144.42]","[396.861, 98.8871, 2289.92]","[408.436, -189.598, 2331.46]","[271.186, -449.103, 2313.59]","[544.66, 95.8489, 2022.3]","[594.556, -186.491, 1968.42]","[535.061, -434.663, 1822.07]","[481.426, -140.024, 2144.45]","[484.519, -332.869, 2108.2]","[401.79, -401.931, 2140.02]","[397.069, -795.568, 2116.37]","[397.069, -1176.0, 2116.37]","[561.636, -386.263, 2044.9]","[471.415, -682.889, 1790.34]","[341.352, -814.01, 2120.04]","[294.058, -405.85, 2316.57]","[544.977, -393.303, 1846.46]","[451.339, 185.398, 2144.41]","[0, 0, 0]"
116,30.303,2,249,"[-899.524, 395.142, 1866.74]","[-953.312, 225.594, 1797.51]","[-1060.33, 231.554, 1679.1]","[-1239.12, 145.294, 1496.97]","[-1225.18, -113.814, 1613.06]","[-999.191, 165.122, 1899.73]","[-1027.97, -88.8563, 1895.82]","[-1027.97, -439.897, 1895.82]","[-981.251, -8.61859, 1784.98]","[-954.538, -195.107, 1729.9]","[-914.323, -573.068, 1638.48]","[-914.323, -975.233, 1638.48]","[-914.323, -1353.53, 1638.48]","[-898.437, -565.901, 1692.09]","[-898.437, -968.066, 1692.09]","[-898.437, -1346.36, 1692.09]","[-1227.09, -69.9889, 1593.83]","[-1027.97, -339.444, 1895.82]","[-943.19, 305.947, 1801.5]","[0, 0, 0]"
116,30.303,2,174,"[407.77, 307.77, 2158.74]","[458.058, 111.645, 2135.97]","[395.436, 102.045, 2279.34]","[406.856, -183.759, 2321.05]","[284.54, -450.194, 2298.86]","[540.948, 99.9431, 2012.62]","[592.365, -177.938, 1952.74]","[531.569, -431.974, 1816.42]","[481.975, -133.034, 2137.55]","[483.043, -327.039, 2101.33]","[400.301, -394.544, 2134.82]","[397.407, -781.722, 2124.68]","[397.407, -1161.6, 2124.68]","[558.093, -381.675, 2037.19]","[458.84, -671.018, 1778.09]","[342.713, -810.373, 2109.61]","[304.916, -405.782, 2302.56]","[541.697, -389.645, 1839.14]","[450.184, 192.189, 2135.45]","[0, 0, 0]"
117,30.303,2,249,"[-892.612, 398.605, 1865.36]","[-949.052, 231.123, 1795.32]","[-1052.46, 233.353, 1677.2]","[-1246.69, 202.183, 1490.96]","[-1360.66, -42.9281, 1493.33]","[-1021.33, 178.27, 1892.01]","[-1032.36, -84.8349, 1887.46]","[-1032.36, -434.812, 1887.46]","[-979.364, -9.10049, 1782.76]","[-953.372, -195.874, 1728.47]","[-914.32, -573.16, 1638.47]","[-914.32, -975.228, 1638.47]","[-914.32, -1353.43, 1638.47]","[-898.422, -565.987, 1692.12]","[-898.422, -968.055, 1692.12]","[-898.422, -1346.26, 1692.12]","[-1339.88, -1.97208, 1492.98]","[-1032.36, -334.383, 1887.46]","[-938.438, 311.403, 1799.01]","[0, 0, 0]"
117,30.303,2,174,"[406.287, 317.162, 2137.19]","[456.647, 121.075, 2121.17]","[393.279, 105.827, 2261.6]","[404.559, -177.009, 2292.61]","[302.265, -452.933, 2268.65]","[532.44, 105.722, 1993.77]","[584.092, -166.238, 1927.09]","[517.816, -425.814, 1801.0]","[482.466, -123.321, 2124.95]","[480.105, -319.395, 2088.98]","[395.981, -386.704, 2119.31]","[391.402, -780.872, 2102.76]","[391.402, -1160.31, 2102.76]","[549.247, -376.119, 2020.68]","[442.933, -665.635, 1764.2]","[338.495, -804.892, 2100.27]","[319.308, -406.941, 2272.64]","[528.854, -382.562, 1822.02]","[448.145, 201.548, 2119.93]","[0, 0, 0]"
118,30.303,2,249,"[-887.791, 397.428, 1859.59]","[-945.164, 230.329, 1790.3]","[-1047.21, 231.735, 1672.75]","[-1247.72, 243.923, 1488.81]","[-1442.96, 84.2581, 1390.04]","[-1026.9, 182.98, 1886.82]","[-1024.59, -86.5014, 1884.56]","[-1024.59, -435.6, 1884.56]","[-977.666, -13.0927, 1779.06]","[-952.117, -200.159, 1725.76]","[-914.318, -573.238, 1638.46]","[-914.318, -975.196, 1638.46]","[-914.318, -1353.3, 1638.46]","[-898.41, -566.061, 1692.15]","[-898.41, -968.018, 1692.15]","[-898.41, -1346.12, 1692.15]","[-1408.86, 110.151, 1406.51]","[-1024.59, -335.199, 1884.56]","[-933.967, 310.532, 1793.26]","[0, 0, 0]"
118,30.303,2,174,"[404.93, 324.364, 2114.94]","[454.397, 128.681, 2103.61]","[390.464, 108.351, 2241.93]","[402.099, -171.692, 2256.16]","[316.607, -455.126, 2229.52]","[519.415, 109.971, 1971.65]","[572.987, -156.586, 1900.8]","[501.549, -421.008, 1784.19]","[482.157, -115.654, 2106.72]","[475.829, -313.907, 2071.82]","[390.67, -383.094, 2098.84]","[386.676, -783.167, 2083.15]","[386.676, -1162.24, 2083.15]","[540.767, -374.618, 2001.36]","[430.491, -673.297, 1757.5]","[324.996, -803.379, 2097.2]","[330.852, -407.883, 2233.96]","[513.45, -376.944, 1803.62]","[445.262, 209.086, 2102.58]","[0, 0, 0]"
