frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
33,30.303,2,122,"[-697.017, 361.265, 1751.88]","[-727.908, 167.869, 1712.74]","[-792.236, 155.334, 1579.42]","[-793.844, -136.331, 1526.97]","[-663.102, -383.969, 1419.38]","[-698.98, 172.08, 1862.62]","[-649.481, -108.693, 1943.48]","[-418.422, -290.163, 1882.86]","[-732.257, -81.4705, 1722.24]","[-730.9, -264.704, 1688.11]","[-829.224, -321.797, 1617.57]","[-692.494, -682.835, 1481.9]","[-692.494, -1067.76, 1481.9]","[-629.805, -342.988, 1728.8]","[-723.827, -604.651, 1428.56]","[-723.827, -989.573, 1428.56]","[-684.892, -342.696, 1437.31]","[-456.932, -259.918, 1892.97]","[-726.471, 250.281, 1709.6]","[0, 0, 0]"
34,29.4118,2,122,"[-696.039, 362.669, 1749.65]","[-727.735, 169.02, 1711.92]","[-790.333, 156.276, 1577.61]","[-792.348, -134.679, 1525.38]","[-664.579, -384.34, 1419.23]","[-697.586, 173.763, 1861.62]","[-647.821, -106.048, 1942.96]","[-414.103, -283.621, 1881.9]","[-732.395, -80.2037, 1722.32]","[-730.693, -263.617, 1688.3]","[-828.657, -319.903, 1617.69]","[-692.591, -673.747, 1468.19]","[-691.253, -1014.01, 1399.66]","[-630.033, -341.083, 1729.8]","[-716.96, -604.157, 1429.1]","[-682.545, -986.601, 1431.77]","[-685.876, -342.731, 1436.92]","[-453.057, -254.027, 1892.08]","[-726.194, 251.417, 1708.48]","[0, 0, 0]"
35,30.303,2,122,"[-691.967, 367.06, 1742.45]","[-726.712, 172.889, 1708.97]","[-783.892, 159.599, 1571.42]","[-788.437, -128.809, 1519.31]","[-664.473, -382.897, 1417.68]","[-690.746, 175.364, 1855.62]","[-640.227, -100.281, 1941.31]","[-396.207, -262.291, 1879.26]","[-732.662, -75.7864, 1722.38]","[-729.855, -260.002, 1688.93]","[-825.372, -318.945, 1618.46]","[-684.165, -652.043, 1437.87]","[-667.028, -995.6, 1378.78]","[-630.665, -336.735, 1732.2]","[-697.8, -605.834, 1433.0]","[-660.122, -994.024, 1440.62]","[-685.136, -340.554, 1434.62]","[-436.879, -235.292, 1889.6]","[-724.741, 255.221, 1704.53]","[0, 0, 0]"
36,29.4118,2,122,"[-684.644, 372.95, 1730.9]","[-724.258, 178.258, 1703.84]","[-777.89, 162.098, 1564.46]","[-779.295, -120.927, 1505.56]","[-661.294, -385.0, 1416.47]","[-678.821, 175.96, 1844.71]","[-624.102, -92.1574, 1937.8]","[-365.046, -233.103, 1874.85]","[-732.796, -69.2613, 1722.1]","[-728.335, -254.891, 1689.8]","[-819.932, -317.458, 1620.0]","[-677.091, -632.296, 1408.56]","[-670.59, -999.442, 1381.54]","[-631.157, -330.614, 1734.0]","[-676.589, -603.711, 1434.24]","[-656.453, -985.868, 1434.83]","[-680.961, -341.001, 1431.32]","[-408.224, -209.615, 1885.34]","[-721.42, 260.452, 1697.77]","[0, 0, 0]"
37,31.25,2,122,"[-676.309, 377.245, 1719.85]","[-720.563, 182.5, 1698.07]","[-773.991, 162.521, 1558.99]","[-767.848, -115.456, 1494.65]","[-662.152, -391.082, 1416.0]","[-665.528, 175.852, 1833.11]","[-599.711, -84.1985, 1930.2]","[-326.73, -205.912, 1869.36]","[-732.627, -63.5068, 1721.46]","[-726.579, -250.591, 1690.46]","[-814.21, -315.93, 1621.31]","[-671.597, -619.422, 1389.77]","[-668.479, -997.603, 1379.97]","[-630.927, -324.183, 1735.2]","[-673.508, -591.061, 1428.73]","[-675.848, -964.67, 1423.15]","[-679.772, -345.156, 1429.11]","[-372.226, -185.626, 1879.5]","[-716.536, 264.496, 1690.27]","[0, 0, 0]"
38,30.303,2,122,"[-668.536, 379.514, 1712.38]","[-716.114, 185.278, 1692.76]","[-771.719, 161.635, 1555.43]","[-759.882, -113.317, 1490.97]","[-663.177, -394.413, 1413.16]","[-658.534, 177.24, 1826.4]","[-580.564, -75.8338, 1924.75]","[-297.953, -179.854, 1864.63]","[-732.186, -59.1601, 1720.62]","[-724.837, -247.42, 1690.84]","[-809.539, -314.188, 1622.39]","[-668.642, -610.775, 1378.6]","[-667.862, -992.501, 1375.3]","[-629.954, -317.791, 1736.26]","[-673.244, -580.807, 1426.06]","[-675.854, -958.943, 1424.37]","[-679.294, -347.565, 1426.13]","[-345.054, -162.516, 1874.65]","[-710.733, 267.04, 1683.44]","[0, 0, 0]"
39,30.303,2,122,"[-661.532, 380.197, 1708.12]","[-711.318, 186.769, 1688.27]","[-767.678, 160.975, 1551.32]","[-753.423, -112.501, 1490.04]","[-664.769, -397.021, 1409.95]","[-654.441, 179.841, 1823.09]","[-563.862, -66.7266, 1921.4]","[-275.809, -161.234, 1862.77]","[-731.366, -56.2112, 1719.74]","[-723.118, -245.316, 1691.02]","[-805.756, -312.388, 1623.22]","[-668.33, -606.976, 1374.06]","[-669.392, -991.989, 1374.96]","[-629.695, -314.601, 1736.67]","[-675.493, -576.279, 1425.47]","[-678.844, -959.847, 1425.68]","[-679.541, -349.598, 1423.3]","[-323.818, -145.483, 1872.54]","[-704.589, 268.286, 1677.71]","[0, 0, 0]"
40,31.25,2,122,"[-654.905, 380.155, 1706.1]","[-705.945, 187.447, 1685.14]","[-759.79, 160.473, 1546.73]","[-747.776, -112.51, 1490.02]","[-665.566, -399.906, 1407.01]","[-650.44, 182.569, 1821.83]","[-549.289, -58.724, 1918.94]","[-257.648, -148.52, 1861.29]","[-728.675, -54.4115, 1718.94]","[-720.873, -244.085, 1691.04]","[-802.152, -310.291, 1623.69]","[-669.48, -605.758, 1372.89]","[-671.173, -991.806, 1374.94]","[-628.842, -312.439, 1736.52]","[-680.11, -563.816, 1417.96]","[-684.356, -940.04, 1412.0]","[-679.263, -352.003, 1420.84]","[-306.255, -133.554, 1870.9]","[-698.303, 268.78, 1673.77]","[0, 0, 0]"
41,30.303,2,122,"[-648.194, 379.372, 1707.31]","[-699.598, 187.659, 1683.12]","[-751.246, 159.682, 1543.82]","[-746.774, -112.908, 1490.24]","[-662.044, -401.042, 1404.46]","[-642.093, 184.114, 1819.84]","[-538.559, -54.3769, 1918.48]","[-244.368, -142.989, 1860.7]","[-723.085, -53.4449, 1718.29]","[-717.679, -243.502, 1691.01]","[-799.306, -308.47, 1623.26]","[-670.782, -606.334, 1373.39]","[-672.077, -992.929, 1375.49]","[-626.028, -311.46, 1736.76]","[-685.935, -544.652, 1406.57]","[-690.303, -916.055, 1398.19]","[-676.164, -353.017, 1418.76]","[-293.4, -128.221, 1870.33]","[-691.688, 268.896, 1671.28]","[0, 0, 0]"
42,30.303,2,122,"[-641.679, 377.968, 1711.97]","[-692.692, 187.633, 1682.23]","[-747.973, 159.887, 1544.02]","[-744.026, -111.776, 1489.96]","[-657.126, -401.882, 1403.9]","[-632.194, 184.557, 1817.98]","[-527.529, -51.6861, 1918.38]","[-231.888, -142.77, 1858.89]","[-715.164, -53.0184, 1717.9]","[-713.435, -243.285, 1690.97]","[-796.47, -306.148, 1622.25]","[-671.935, -607.027, 1374.29]","[-672.817, -992.936, 1375.82]","[-621.979, -311.543, 1737.3]","[-664.932, -635.294, 1590.2]","[-624.984, -1105.86, 1748.95]","[-671.609, -353.53, 1418.24]","[-281.162, -127.589, 1868.81]","[-685.11, 268.862, 1670.19]","[0, 0, 0]"
