frameid,fps,people_cnt,bodyid,Head,ShoulderSpine,LeftShoulder,LeftElbow,LeftHand,RightShoulder,RightElbow,RightHand,MidSpine,BaseSpine,LeftHip,LeftKnee,LeftFoot,RightHip,RightKnee,RightFoot,LeftWrist,RightWrist,Neck,Unknown
44,30.303,2,96,"[862.727, -55.8673, 2013.74]","[873.49, -212.545, 2002.79]","[763.544, -215.592, 2071.47]","[763.544, -422.016, 2071.47]","[763.544, -687.511, 2071.47]","[1024.68, -177.658, 1994.65]","[850.727, -104.064, 1911.38]","[641.457, -19.1003, 1900.22]","[852.471, -408.618, 1986.29]","[848.647, -562.665, 1950.17]","[768.288, -610.667, 1978.78]","[768.288, -919.132, 1978.78]","[768.288, -1209.29, 1978.78]","[926.258, -596.919, 1901.09]","[822.85, -836.493, 1736.59]","[822.85, -1126.65, 1736.59]","[763.544, -610.463, 2071.47]","[676.335, -33.261, 1902.08]","[880.095, -150.937, 2007.97]","[0, 0, 0]"
45,29.4118,2,96,"[865.972, -51.9779, 2010.22]","[872.545, -208.374, 2004.32]","[759.704, -210.141, 2060.63]","[740.48, -393.806, 2006.41]","[740.48, -659.301, 2006.41]","[1023.25, -174.786, 1997.43]","[849.652, -101.088, 1912.03]","[639.581, -19.0741, 1897.98]","[851.578, -404.629, 1994.28]","[848.108, -557.443, 1955.04]","[767.475, -598.723, 1977.01]","[763.417, -847.777, 1968.12]","[763.417, -1137.94, 1968.12]","[923.375, -586.2, 1905.67]","[824.111, -823.583, 1736.38]","[830.413, -1049.24, 1735.33]","[740.48, -582.252, 2006.41]","[674.593, -32.7399, 1900.32]","[879.146, -146.774, 2007.48]","[0, 0, 0]"
46,30.303,2,96,"[876.172, -37.8334, 2000.16]","[869.288, -190.633, 2010.76]","[752.614, -192.449, 2042.24]","[738.808, -368.254, 2006.39]","[738.808, -633.75, 2006.39]","[1015.4, -167.874, 2005.39]","[842.906, -92.7144, 1917.09]","[631.46, -15.2171, 1899.3]","[849.668, -385.608, 2017.94]","[845.747, -534.721, 1970.77]","[770.676, -573.031, 1978.39]","[776.927, -831.309, 1981.1]","[776.927, -1121.47, 1981.1]","[912.605, -561.805, 1921.0]","[825.251, -786.509, 1732.95]","[827.44, -1004.8, 1726.28]","[738.808, -556.701, 2006.39]","[666.701, -28.1287, 1902.27]","[875.517, -129.286, 2008.48]","[0, 0, 0]"
47,30.303,2,96,"[883.523, -14.2981, 1989.91]","[863.066, -161.637, 2019.75]","[745.934, -168.638, 2029.62]","[739.833, -354.291, 2019.1]","[739.833, -619.787, 2019.1]","[998.824, -156.87, 2020.27]","[822.394, -80.3594, 1941.42]","[614.491, -1.13235, 1904.75]","[845.973, -354.574, 2041.52]","[840.915, -501.683, 1991.58]","[771.873, -544.823, 1982.07]","[772.565, -826.459, 1985.95]","[772.565, -1116.62, 1985.95]","[899.417, -533.832, 1938.64]","[821.997, -746.141, 1732.16]","[818.066, -998.101, 1731.98]","[739.833, -542.738, 2019.1]","[649.122, -14.3364, 1910.86]","[868.52, -100.43, 2012.79]","[0, 0, 0]"
48,29.4118,2,96,"[860.872, 12.7271, 1990.56]","[854.164, -134.199, 2026.99]","[739.445, -147.95, 2032.14]","[735.156, -342.702, 2038.08]","[735.156, -608.198, 2038.08]","[984.752, -139.279, 2017.55]","[803.038, -60.8754, 1955.06]","[595.14, 21.6226, 1929.35]","[837.97, -325.441, 2052.1]","[833.903, -472.992, 2006.89]","[764.559, -528.509, 1985.24]","[757.365, -828.909, 1987.4]","[757.365, -1119.07, 1987.4]","[890.962, -515.57, 1947.97]","[808.956, -722.529, 1735.88]","[797.396, -1000.84, 1739.69]","[735.156, -531.149, 2038.08]","[629.778, 7.87481, 1933.63]","[859.366, -72.8975, 2018.92]","[0, 0, 0]"
49,30.303,2,96,"[821.341, 28.1691, 2008.92]","[843.382, -113.311, 2032.79]","[731.986, -131.289, 2046.49]","[750.237, -328.523, 2091.07]","[708.826, -551.869, 2075.48]","[969.965, -123.275, 2008.82]","[785.487, -38.887, 1960.73]","[578.35, 50.4268, 1949.21]","[827.445, -303.443, 2053.92]","[826.311, -451.976, 2015.57]","[750.225, -517.767, 1990.74]","[738.711, -822.66, 1994.66]","[738.711, -1112.82, 1994.66]","[889.338, -502.916, 1952.58]","[794.518, -711.366, 1746.84]","[784.136, -1000.05, 1755.93]","[715.728, -514.645, 2078.08]","[612.865, 35.5468, 1951.13]","[848.544, -51.7945, 2025.97]","[0, 0, 0]"
50,30.303,2,96,"[787.122, 36.1239, 2030.99]","[830.621, -97.9494, 2038.75]","[724.408, -122.569, 2059.91]","[748.238, -328.144, 2092.77]","[707.518, -551.98, 2078.63]","[953.475, -110.928, 2003.95]","[772.776, -13.7962, 1965.71]","[569.981, 89.3153, 1960.7]","[815.616, -287.352, 2053.61]","[817.81, -436.512, 2020.77]","[735.953, -510.054, 1997.61]","[726.333, -816.349, 2002.25]","[726.333, -1106.51, 2002.25]","[887.762, -495.121, 1956.85]","[786.865, -707.81, 1757.95]","[783.575, -1000.68, 1765.59]","[714.305, -514.674, 2080.99]","[603.778, 72.1352, 1961.53]","[835.517, -36.2082, 2033.92]","[0, 0, 0]"
51,30.303,2,96,"[762.974, 43.2443, 2048.76]","[817.178, -87.1865, 2045.1]","[710.474, -107.069, 2081.08]","[738.932, -320.963, 2100.56]","[702.417, -545.42, 2087.68]","[938.62, -100.075, 2005.38]","[763.496, 10.4846, 1970.79]","[574.918, 136.471, 1972.56]","[804.952, -276.047, 2055.79]","[810.076, -425.392, 2026.35]","[726.517, -508.595, 2007.11]","[721.862, -819.179, 2013.57]","[721.862, -1109.34, 2013.57]","[886.726, -492.206, 1965.86]","[784.997, -705.817, 1767.96]","[786.203, -997.687, 1773.93]","[708.504, -508.01, 2089.83]","[606.351, 115.479, 1972.26]","[821.189, -25.2619, 2041.6]","[0, 0, 0]"
52,30.303,2,96,"[751.711, 54.644, 2060.66]","[806.402, -77.9887, 2052.53]","[706.14, -99.7716, 2099.65]","[729.046, -314.281, 2113.25]","[695.86, -539.053, 2100.89]","[928.598, -82.4158, 2008.08]","[758.495, 36.9534, 1971.74]","[579.953, 176.669, 1984.66]","[798.159, -266.259, 2063.52]","[804.901, -415.55, 2035.86]","[722.592, -508.849, 2018.69]","[722.348, -819.43, 2026.35]","[722.348, -1109.59, 2026.35]","[884.118, -490.693, 1976.96]","[785.573, -705.971, 1779.16]","[787.751, -998.269, 1785.95]","[701.392, -501.59, 2102.95]","[609.713, 153.386, 1982.51]","[809.116, -15.9805, 2048.92]","[0, 0, 0]"
53,30.303,2,96,"[754.266, 70.5438, 2065.83]","[799.345, -69.0808, 2060.43]","[708.123, -95.1377, 2114.29]","[724.397, -308.897, 2125.61]","[691.656, -534.052, 2113.77]","[917.426, -71.9007, 2009.59]","[752.349, 54.6208, 1970.13]","[576.894, 199.714, 1984.66]","[795.139, -256.561, 2075.23]","[802.287, -405.609, 2047.86]","[722.797, -504.85, 2025.03]","[725.131, -810.816, 2027.63]","[725.131, -1100.98, 2027.63]","[878.989, -488.082, 1987.0]","[787.947, -707.311, 1790.06]","[790.743, -999.604, 1796.34]","[697.113, -496.526, 2115.74]","[606.136, 175.529, 1982.24]","[800.734, -7.12023, 2055.53]","[0, 0, 0]"
